instante,latitude,longitude
2018-01-21 20:19:02.027,-8.04749323225,-34.9262297692
2018-01-21 20:19:32.027,-8.04680932776,-34.92747827478
2018-01-21 20:20:02.053,-8.04594312139,-34.92904338168
2018-01-21 20:20:32.037,-8.04515904153,-34.93044560077
2018-01-21 20:21:02.050,-8.04432911622,-34.93198365363
2018-01-21 20:21:32.050,-8.0437914241,-34.93289722316
2018-01-21 20:22:02.030,-8.04337181027,-34.93369343394
2018-01-21 20:22:32.047,-8.04255108718,-34.93519523345
2018-01-21 20:23:02.043,-8.04163914408,-34.93686893038
2018-01-21 20:23:32.027,-8.0409648977,-34.93798138533
2018-01-21 20:24:02.057,-8.04040821617,-34.93908532439
2018-01-21 20:24:32.053,-8.03940538685,-34.94085834256
2018-01-21 20:25:02.037,-8.03932320994,-34.94103028774
2018-01-21 20:25:32.033,-8.03914094676,-34.94133781146
2018-01-21 20:26:02.033,-8.03842054675,-34.94264957697
2018-01-21 20:26:32.047,-8.03779140467,-34.94378036643
2018-01-21 20:27:02.047,-8.03762717767,-34.94409704359
2018-01-21 20:27:32.043,-8.03649652301,-34.94613246119
2018-01-21 20:28:02.027,-8.03480054855,-34.94918102831
2018-01-21 20:28:32.040,-8.03417122109,-34.95034807446
2018-01-21 20:29:02.037,-8.03371533485,-34.9511622099
2018-01-21 20:29:32.037,-8.03221989903,-34.95385795517
2018-01-21 20:30:02.033,-8.03221989903,-34.95385795517
2018-01-21 20:30:32.047,-8.03140803212,-34.95538691356
2018-01-21 20:31:02.030,-8.03008541938,-34.95785670119
2018-01-21 20:31:32.030,-8.03008541938,-34.95785670119
2018-01-21 20:32:02.043,-8.03031904049,-34.95815713123
2018-01-21 20:32:32.040,-8.03125723717,-34.95857884913
2018-01-21 20:33:02.040,-8.03277946001,-34.95975618576
2018-01-21 20:33:32.053,-8.0343919063,-34.96097024532
2018-01-21 20:34:02.037,-8.035707059,-34.96196520374
2018-01-21 20:34:32.050,-8.03782383853,-34.96358079423
2018-01-21 20:35:02.047,-8.03888680946,-34.96437501298
2018-01-21 20:35:32.047,-8.0395499706,-34.9655936101
2018-01-21 20:36:02.027,-8.03913821482,-34.96662562739
2018-01-21 20:36:32.043,-8.03840240408,-34.96925242608
2018-01-21 20:37:02.040,-8.03778549327,-34.97158954215
2018-01-21 20:37:32.053,-8.0374088406,-34.97283939783
2018-01-21 20:38:02.053,-8.03707803881,-34.97395342073
2018-01-21 20:38:32.037,-8.03667277749,-34.97551151457
2018-01-21 20:39:02.033,-8.03644254479,-34.97639019693
2018-01-21 20:39:32.047,-8.03631336597,-34.97693377515
2018-01-21 20:40:02.030,-8.03613854958,-34.97756783235
2018-01-21 20:40:32.043,-8.03628716817,-34.97862067789
2018-01-21 20:41:02.027,-8.03630079388,-34.97954588849
2018-01-21 20:41:32.023,-8.03647176955,-34.97970997819
2018-01-21 20:42:02.037,-8.03675087682,-34.97994715277
2018-01-21 20:42:32.037,-8.03787686843,-34.98078706
2018-01-21 20:43:02.037,-8.03787686843,-34.98078706
2018-01-21 22:20:02.033,-8.06169223459,-34.88229348926
2018-01-21 22:20:32.030,-8.06120866445,-34.88325278946
2018-01-21 22:21:02.030,-8.06094486093,-34.88360534146
2018-01-21 22:21:32.027,-8.05996800598,-34.88566902345
2018-01-21 22:22:02.027,-8.0596669533,-34.88625724716
2018-01-21 22:22:32.023,-8.05818134967,-34.8888537438
2018-01-21 22:23:02.037,-8.05671791659,-34.8925206941
2018-01-21 22:23:32.037,-8.05621415223,-34.89393341896
2018-01-21 22:24:02.037,-8.05459588076,-34.89588520712
2018-01-21 22:24:32.033,-8.05390745744,-34.89617227139
2018-01-21 22:25:02.030,-8.05293638662,-34.89697505746
2018-01-21 22:25:32.030,-8.05244026639,-34.89868713398
2018-01-21 22:26:02.027,-8.05244687164,-34.89921327231
2018-01-21 22:26:32.027,-8.05263799088,-34.90089226448
2018-01-21 22:27:02.023,-8.05280429487,-34.90207224621
2018-01-21 22:27:32.037,-8.05282969184,-34.90244426803
2018-01-21 22:28:02.037,-8.05316875744,-34.90535758134
2018-01-21 22:28:32.033,-8.05330758903,-34.9066100014
2018-01-21 22:29:02.033,-8.05477976527,-34.90886645575
2018-01-21 22:29:32.030,-8.05643763732,-34.91007157756
2018-01-21 22:30:02.030,-8.05455015015,-34.91351870262
2018-01-21 22:30:32.027,-8.05252601743,-34.91718284573
2018-01-21 22:31:02.027,-8.05156862995,-34.91891991679
2018-01-21 22:31:32.040,-8.05022860954,-34.92128105096
2018-01-21 22:32:02.037,-8.04842318129,-34.92456517295
2018-01-21 22:32:32.037,-8.04744768979,-34.92630211862
2018-01-21 22:33:02.033,-8.04595220438,-34.92903435412
2018-01-21 22:33:32.033,-8.04552376894,-34.92978518006
2018-01-21 22:34:02.030,-8.04504040792,-34.93068087212
2018-01-21 22:34:32.027,-8.04319854875,-34.93401007796
2018-01-21 22:35:02.027,-8.04234136423,-34.93557519589
2018-01-21 22:35:32.027,-8.0415662654,-34.93698649944
2018-01-21 22:36:02.040,-8.04009827626,-34.93962807208
2018-01-21 22:36:32.037,-8.03921374064,-34.94123838428
2018-01-21 22:37:02.037,-8.03821985898,-34.94302957362
2018-01-21 22:37:32.050,-8.03821985898,-34.94302957362
2018-01-21 22:38:02.033,-8.03713449555,-34.94504707327
2018-01-21 22:38:32.030,-8.03648692441,-34.94625032832
2018-01-21 22:39:02.027,-8.03451776265,-34.94971481821
2018-01-21 22:39:32.027,-8.03282138089,-34.95284498035
2018-01-21 22:40:02.023,-8.03222868071,-34.95391241768
2018-01-21 22:40:32.037,-8.03224654572,-34.95395785356
2018-01-21 22:41:02.037,-8.03150781973,-34.95531483061
2018-01-21 22:41:32.037,-8.03024031194,-34.95760348266
2018-01-21 22:42:02.033,-8.03011210835,-34.95794752925
2018-01-21 22:42:32.030,-8.03078805258,-34.95838612954
2018-01-21 22:43:02.030,-8.03176184801,-34.95892592997
2018-01-21 22:43:32.027,-8.03314872539,-34.96004819969
2018-01-21 22:44:02.027,-8.03436474241,-34.96097918499
2018-01-21 22:44:32.023,-8.03483318899,-34.96132609823
2018-01-21 22:45:02.037,-8.03599513318,-34.96222055138
2018-01-21 22:45:32.037,-8.03764359806,-34.9634620153
2018-01-21 22:46:02.033,-8.03973263989,-34.96520447147
2018-01-21 22:46:32.047,-8.03902882104,-34.96681557392
2018-01-21 22:47:02.030,-8.03809977483,-34.97014890955
2018-01-21 22:47:32.030,-8.03760177447,-34.97219635242
2018-01-21 22:48:02.027,-8.03760177447,-34.97219635242
2018-01-21 22:48:32.027,-8.03680156238,-34.97504956379
2018-01-21 22:49:02.023,-8.0365163049,-34.97609124181
2018-01-21 22:49:32.037,-8.0360927817,-34.97768552133
2018-01-21 22:50:02.037,-8.03633324192,-34.97843950017
2018-01-21 22:50:32.033,-8.03618384035,-34.97942741099
2018-01-21 22:51:02.033,-8.0376883815,-34.9805049734
2018-01-21 22:51:32.030,-8.03797149928,-34.98178522688
2018-01-21 22:52:02.030,-8.03798040815,-34.98181248034
2018-01-21 22:52:32.027,-8.03797075566,-34.98193941442
2018-01-22 14:45:39.163,-8.03942385307,-34.94077679753
